観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),今日の最大値(m/s),今日の最大値の品質情報,今日の最大値観測時の風向,今日の最大値観測時の風向の品質情報,今日の最大値起時（時）,今日の最大値起時（分）,今日の最大値起時の品質情報,極値更新,10年未満での極値更新,昨日までの観測史上1位の値(m/s),昨日までの観測史上1位の値の品質情報,昨日までの観測史上1位の値観測時の風向,昨日までの観測史上1位の値観測時の風向の品質情報,昨日までの観測史上1位の値観測時の年,昨日までの観測史上1位の値観測時の月,昨日までの観測史上1位の値観測時の日,昨日までの8月の1位の値(m/s),昨日までの8月の1位の値の品質情報,昨日までの8月の1位の値観測時の風向,昨日までの8月の1位の値観測時の風向の品質情報,昨日までの8月の1位の値観測時の年,昨日までの8月の1位の値観測時の月,昨日までの8月の1位の値観測時の日,統計開始年
21126,北海道胆振地方,穂別（ホベツ）,,2022,08,10,17,00,3.3,4,南南西,4,11,14,4,,,15,8,南西,8,2004,09,08,14,8,南南西,8,1981,08,23,1977
21161,北海道胆振地方,大滝（オオタキ）,,2022,08,10,17,00,3.0,4,南西,4,05,46,4,,,12,8,南西,8,1987,09,01,10,8,///,8,1981,08,23,1977
21171,北海道胆振地方,森野（モリノ）,,2022,08,10,17,00,2.5,4,南南西,4,06,51,4,,,11,8,北北西,8,2007,01,07,8,8,西南西,8,1981,08,23,1977
21187,北海道胆振地方,苫小牧（トマコマイ）,47424,2022,08,10,17,00,6.2,4,南南東,4,05,37,4,,,31.8,8,南,8,1954,09,26,27.7,8,南東,8,1981,08,23,1942
21226,北海道胆振地方,大岸（オオキシ）,,2022,08,10,17,00,3.0,4,東南東,4,06,36,4,,,14.3,8,南南東,8,2014,12,16,12,8,南南東,8,1979,08,18,1977
21261,北海道胆振地方,白老（シラオイ）,,2022,08,10,17,00,4.1,4,南南東,4,11,55,4,,,23.6,8,東南東,8,2016,08,30,23.6,8,東南東,8,2016,08,30,1977
21276,北海道胆振地方,鵡川（ムカワ）,,2022,08,10,17,00,5.6,4,南南東,4,11,49,4,,,20,8,北北西,8,2004,02,23,17,4,///,4,1981,08,23,1978
21297,北海道胆振地方,伊達（ダテ）,,2022,08,10,17,00,5.7,4,南南東,4,15,22,4,,,18.4,8,南東,8,2018,09,05,17.8,8,東南東,8,2016,08,30,2007
21312,北海道胆振地方,登別（ノボリベツ）,,2022,08,10,17,00,1.8,4,南南東,4,10,48,4,,,15,8,西,8,1984,10,28,10,8,西,8,2004,08,31,1977
21323,北海道胆振地方,室蘭（ムロラン）,47423,2022,08,10,17,00,4.6,4,南南東,4,04,33,4,,,37.2,8,南,8,1954,09,26,23.3,8,南南西,8,1962,08,09,1923
22036,北海道日高地方,日高（ヒダカ）,,2022,08,10,17,00,3.3,4,南南西,4,12,34,4,,,11.8,8,南南西,8,2016,04,17,10.4,8,南南西,8,2020,08,07,1977
22141,北海道日高地方,日高門別（ヒダカモンベツ）,,2022,08,10,17,00,3.8,4,南南東,4,11,47,4,,,18,4,///,4,1981,08,23,18,4,///,4,1981,08,23,1976
22156,北海道日高地方,新和（シンワ）,,2022,08,10,17,00,3.1,4,南南西,4,12,18,4,,,11.2,8,南,8,2013,11,25,10,8,///,8,1981,08,23,1977
22241,北海道日高地方,静内（シズナイ）,,2022,08,10,17,00,2.7,4,南東,4,16,40,4,,,15.0,8,南西,8,2012,12,06,12.1,8,東南東,8,2016,08,30,1977
22291,北海道日高地方,三石（ミツイシ）,,2022,08,10,17,00,3.4,4,北,4,03,16,4,,,17.3,8,西,8,2012,11,27,13,8,///,8,1981,08,23,1977
22306,北海道日高地方,中杵臼（ナカキネウス）,,2022,08,10,17,00,1.9,4,西,4,11,31,4,,,13.1,8,西北西,8,2013,03,10,13,8,///,8,1981,08,23,1978
22327,北海道日高地方,浦河（ウラカワ）,47426,2022,08,10,17,00,3.1,4,西,4,13,21,4,,,39.6,8,西北西,8,1958,01,10,25.7,8,東南東,8,1981,08,23,1927
22391,北海道日高地方,えりも岬（エリモミサキ）,,2022,08,10,17,00,10.0,4,西南西,4,14,19,4,,,40,4,///,4,1991,02,16,30.9,8,北北東,8,2021,08,10,1978
23031,北海道渡島地方,長万部（オシャマンベ）,,2022,08,10,17,00,4.2,4,南南西,4,08,53,4,,,19.8,8,東南東,8,2016,08,30,19.8,8,東南東,8,2016,08,30,1977
23086,北海道渡島地方,八雲（ヤクモ）,,2022,08,10,17,00,2.8,4,南西,4,06,26,4,,,19.2,8,東北東,8,2016,08,30,19.2,8,東北東,8,2016,08,30,1977
23166,北海道渡島地方,森（モリ）,,2022,08,10,17,00,4.2,4,南,4,00,45,4,,,20,8,南南西,8,2004,09,08,18.1,8,東,8,2016,08,30,2002
23206,北海道渡島地方,川汲（カックミ）,,2022,08,10,17,00,4.1,4,南西,4,06,12,4,,,12.4,8,南西,8,2009,05,18,11.5,8,南南西,8,2020,08,07,1977
23226,北海道渡島地方,北斗（ホクト）,,2022,08,10,17,00,3.2,4,南東,4,07,18,4,,,19.8,8,南東,8,2018,09,05,19.0,8,南東,8,2016,08,30,1977
23232,北海道渡島地方,函館（ハコダテ）,47430,2022,08,10,17,00,4.4,4,東南東,4,11,06,4,,,27.9,8,西北西,8,1928,02,07,23.0,8,西,8,1922,08,29,1872
23281,北海道渡島地方,高松（タカマツ）,,2022,08,10,17,00,5.7,4,南西,4,08,48,4,,,24.8,8,東南東,8,2016,08,30,24.8,8,東南東,8,2016,08,30,2003
23326,北海道渡島地方,木古内（キコナイ）,,2022,08,10,17,00,3.8,4,東北東,4,15,57,4,,,19.5,8,北東,8,2014,06,13,19.2,8,東南東,8,2016,08,30,1977
23376,北海道渡島地方,松前（マツマエ）,,2022,08,10,17,00,6.0,4,西南西,4,16,45,4,,,24,8,西北西,8,1979,03,31,21,8,西北西,8,1981,08,23,1977
24141,北海道渡島地方,熊石（クマイシ）,,2022,08,10,17,00,7.1,4,西南西,4,04,42,4,,,19.6,8,西南西,8,2014,12,02,15.3,8,東北東,8,2016,08,30,1977
24041,北海道檜山地方,せたな（セタナ）,,2022,08,10,17,00,4.2,4,南南西,4,07,39,4,,,23.4,8,西,8,2012,12,06,21.5,8,東,8,2016,08,30,1977
24051,北海道檜山地方,今金（イマカネ）,,2022,08,10,17,00,3.0,4,東南東,4,15,17,4,,,14.7,8,西南西,8,2012,12,06,14.1,8,東,8,2016,08,30,1977
24101,北海道檜山地方,奥尻（オクシリ）,,2022,08,10,17,00,6.4,4,南南東,4,12,01,4,,,28.9,8,西,8,2012,12,06,24.4,8,南東,8,2016,08,30,2000
24156,北海道檜山地方,米岡（ヨネオカ）,,2022,08,10,17,00,7.1,4,西南西,4,02,41,4,,,31,8,西南西,8,2004,09,08,24.8,8,西南西,8,2020,08,07,2003
24201,北海道檜山地方,鶉（ウズラ）,,2022,08,10,17,00,2.5,4,南東,4,10,55,4,,,14.5,8,東南東,8,2016,08,30,14.5,8,東南東,8,2016,08,30,1977
24217,北海道檜山地方,江差（エサシ）,47428,2022,08,10,17,00,5.4,4,南西,4,08,11,4,,,36.1,8,西南西,8,1954,09,26,28.5,8,南南西,8,1970,08,16,1941
31001,青森県,大間（オオマ）,,2022,08,10,17,00,6.0,4,南西,4,06,56,4,,,19.1,8,南西,8,2016,04,17,15,8,南西,8,1981,08,23,1976
31111,青森県,むつ（ムツ）,47576,2022,08,10,17,00,4.4,4,南,4,14,00,4,,,28.7,8,西南西,8,1961,05,29,18.2,8,西南西,8,1981,08,23,1935
31121,青森県,小田野沢（オダノサワ）,,2022,08,10,17,00,5.7,4,南,4,15,19,4,,,19.0,8,西南西,8,2011,05,02,17,8,西南西,8,1981,08,23,1976
31136,青森県,今別（イマベツ）,,2022,08,10,17,00,3.9,4,南東,4,10,25,4,,,13.7,8,南南東,8,2017,04,18,10.0,8,南東,8,2017,08,08,1976
31156,青森県,脇野沢（ワキノサワ）,,2022,08,10,17,00,3.3,4,東北東,4,16,03,4,,,20.7,8,東,8,2016,08,30,20.7,8,東,8,2016,08,30,1976
31186,青森県,市浦（シウラ）,,2022,08,10,17,00,3.3,4,南西,4,17,00,4,,,13.2,8,東北東,8,2016,08,30,13.2,8,東北東,8,2016,08,30,1976
31201,青森県,蟹田（カニタ）,,2022,08,10,17,00,3.8,4,西,4,03,47,4,,,24.2,8,西,8,2009,02,20,18.3,8,東,8,2016,08,30,1976
31296,青森県,五所川原（ゴショガワラ）,,2022,08,10,17,00,5.0,4,南南西,4,14,27,4,,,19.2,8,西南西,8,2011,12,04,14,8,北西,8,1981,08,23,1976
31312,青森県,青森（アオモリ）,47575,2022,08,10,17,00,7.7,4,南南西,4,14,43,4,,,29.0,8,南西,8,1991,09,28,18.1,8,東,8,2016,08,30,1882
31332,青森県,野辺地（ノヘジ）,,2022,08,10,17,00,4.0,4,南東,4,14,20,4,,,21.1,8,西,8,2009,02,21,17.0,8,北,8,2016,08,17,2008
31336,青森県,六ケ所（ロッカショ）,,2022,08,10,17,00,3.0,4,西北西,4,04,14,4,,,18,8,///,8,1991,09,28,10,8,東南東,8,1989,08,28,1982
31366,青森県,鰺ケ沢（アジガサワ）,,2022,08,10,17,00,4.7,4,南西,4,16,49,4,,,14.8,8,西,8,2009,02,20,11,8,西,8,1981,08,23,1976
31386,青森県,青森大谷（アオモリオオタニ）,,2022,08,10,17,00,9.6,4,南南西,4,16,50,4,,,25.5,8,南南西,8,2012,04,04,20,8,南西,8,2004,08,31,2003
31436,青森県,深浦（フカウラ）,47574,2022,08,10,17,00,7.8,4,南,4,13,24,4,,,31.3,8,北,8,1957,12,13,21.3,8,南南西,8,1970,08,16,1940
31461,青森県,弘前（ヒロサキ）,,2022,08,10,17,00,2.8,4,東南東,4,12,30,4,,,14.8,8,南西,8,2016,04,17,10,8,西南西,8,1981,08,23,1976
31466,青森県,黒石（クロイシ）,,2022,08,10,17,00,6.1,4,南,4,14,21,4,,,22.4,8,南,8,2012,04,04,12.4,8,北,8,2018,08,17,1976
31482,青森県,酸ケ湯（スカユ）,,2022,08,10,17,00,4.9,4,西南西,4,13,42,4,,,21,8,南東,8,1991,02,16,15,8,南東,8,1982,08,02,1976
31506,青森県,三沢（ミサワ）,,2022,08,10,17,00,3.5,4,東南東,4,13,29,4,,,13.6,8,東南東,8,2016,08,30,13.6,8,東南東,8,2016,08,30,1976
31586,青森県,十和田（トワダ）,,2022,08,10,17,00,5.0,4,南東,4,13,43,4,,,18,8,北北西,8,1990,10,26,14.7,8,東北東,8,2016,08,30,1976
31602,青森県,八戸（ハチノヘ）,47581,2022,08,10,17,00,6.9,4,西,4,03,43,4,,,32.3,8,東北東,8,1943,10,03,23.6,8,東,8,2016,08,30,1936
31646,青森県,碇ケ関（イカリガセキ）,,2022,08,10,17,00,6.4,4,北北西,4,02,55,4,,,17.0,8,南,8,2012,04,04,11.2,8,北北西,8,2022,08,03,1976
31662,青森県,休屋（ヤスミヤ）,,2022,08,10,17,00,5.5,4,西,4,13,39,4,,,13,8,西北西,8,2007,01,07,9,8,西,8,1997,08,10,1982
31721,青森県,三戸（サンノヘ）,,2022,08,10,17,00,2.7,4,北,4,11,53,4,,,12.0,8,南南西,8,2012,04,04,8.7,8,北東,8,2016,08,30,1976
32056,秋田県,八森（ハチモリ）,,2022,08,10,17,00,7.0,4,北西,4,02,06,4,,,28.1,8,西北西,8,2021,01,07,16,8,///,8,1981,08,23,1976
32111,秋田県,能代（ノシロ）,,2022,08,10,17,00,7.7,4,西南西,4,01,42,4,,,20.1,8,西北西,8,2021,01,07,18,8,南,8,2004,08,20,1976
32126,秋田県,鷹巣（タカノス）,,2022,08,10,17,00,8.0,4,西南西,4,02,04,4,,,19,8,南南西,8,1991,09,28,13,8,南南西,8,2004,08,20,1976
32136,秋田県,大館（オオダテ）,,2022,08,10,17,00,3.3,4,西,4,02,13,4,,,14,8,北北東,8,1999,10,28,8.1,8,東,8,2016,08,30,1976
32146,秋田県,鹿角（カヅノ）,,2022,08,10,17,00,5.6,4,西南西,4,00,13,4,,,19,8,///,8,1991,09,28,10,8,南西,8,2004,08,31,1976
32181,秋田県,脇神（ワキガミ）,,2022,08,10,17,00,12.3,4,西南西,4,02,06,4,,,20.9,8,西南西,8,2012,04,04,16,8,南南西,8,2004,08,20,2003
32206,秋田県,湯瀬（ユゼ）,,2022,08,10,17,00,3.5,4,西北西,4,11,26,4,,,15.2,8,北西,8,2012,04,04,10,8,北,8,1978,08,04,1976
32266,秋田県,八幡平（ハチマンタイ）,,2022,08,10,17,00,2.2,4,西,4,16,33,4,,,16,8,///,8,1991,09,28,13,8,///,8,1981,08,23,1978
32286,秋田県,男鹿（オガ）,,2022,08,10,17,00,8.0,4,南南西,4,01,57,4,,,20,8,南西,8,1991,09,28,18,8,南南西,8,2004,08,20,1976
32287,秋田県,大潟（オオガタ）,,2022,08,10,17,00,9.4,4,西南西,4,01,50,4,,,21.2,8,南南西,8,2012,04,04,18,8,南南西,8,2004,08,20,1977
32296,秋田県,五城目（ゴジョウメ）,,2022,08,10,17,00,7.0,4,南西,4,02,17,4,,,20.9,8,南西,8,2012,04,04,18,8,南西,8,2004,08,31,1976
32311,秋田県,阿仁合（アニアイ）,,2022,08,10,17,00,4.1,4,南,4,02,35,4,,,13,8,///,8,1979,03,31,10,8,南,8,1987,08,31,1976
32402,秋田県,秋田（アキタ）,47582,2022,08,10,17,00,9.3,4,南西,4,02,43,4,,,30.7,8,南西,8,1954,09,26,28.1,8,西南西,8,1960,08,12,1882
32407,秋田県,岩見三内（イワミサンナイ）,,2022,08,10,17,00,4.7,4,南西,4,02,01,4,,,18.3,8,西南西,8,2012,04,04,14.2,8,南西,8,2016,08,30,1976
32451,秋田県,雄和（ユウワ）,,2022,08,10,17,00,8.0,4,西,4,03,25,4,,,24.8,8,西,8,2021,01,07,19,8,西南西,8,2004,08,20,2003
32466,秋田県,角館（カクノダテ）,,2022,08,10,17,00,2.6,4,南南西,4,12,04,4,,,10.3,8,南西,8,2012,04,04,7,8,南南西,8,2004,08,31,1976
32476,秋田県,田沢湖（タザワコ）,,2022,08,10,17,00,2.9,4,西南西,4,13,06,4,,,15,8,東,8,1991,09,14,11,8,東南東,8,1993,08,11,1976
32496,秋田県,大正寺（ダイショウジ）,,2022,08,10,17,00,4.2,4,西,4,03,39,4,,,15.2,8,西北西,8,2021,01,07,15,8,南西,8,2004,08,31,1976
32551,秋田県,大曲（オオマガリ）,,2022,08,10,17,00,3.5,4,西北西,4,04,14,4,,,19,8,///,8,1979,03,31,12,8,///,8,1981,08,23,1976
32571,秋田県,本荘（ホンジョウ）,,2022,08,10,17,00,6.4,4,南西,4,01,57,4,,,27.7,8,南西,8,2012,04,04,21,4,南南西,4,2004,08,31,1976
32581,秋田県,東由利（ヒガシユリ）,,2022,08,10,17,00,4.6,4,西南西,4,11,22,4,,,16.4,8,西南西,8,2012,04,04,12,8,南西,8,2004,08,20,1976
32596,秋田県,横手（ヨコテ）,,2022,08,10,17,00,3.7,4,南,4,10,53,4,,,18,8,西南西,8,1981,08,23,18,8,西南西,8,1981,08,23,1976
32616,秋田県,にかほ（ニカホ）,,2022,08,10,17,00,12.8,4,南西,4,01,31,4,,,28.8,8,南西,8,2015,02,13,19.2,8,西南西,8,2016,08,30,1976
32626,秋田県,矢島（ヤシマ）,,2022,08,10,17,00,4.0,4,西,4,11,08,4,,,15.3,8,西南西,8,2012,04,04,10.3,8,北西,8,2013,08,20,1976
32691,秋田県,湯沢（ユザワ）,,2022,08,10,17,00,3.5,4,南,4,09,00,4,,,19.0,8,西,8,2012,04,04,13.5,8,南東,8,2015,08,26,1976
32771,秋田県,湯の岱（ユノタイ）,,2022,08,10,17,00,2.9,4,北,4,03,33,4,,,11.0,8,北,8,2012,04,04,8,8,東南東,8,1989,08,25,1976
33006,岩手県,種市（タネイチ）,,2022,08,10,17,00,2.1,4,北北西,4,12,36,4,,,23,4,///,4,1985,07,15,21,8,///,8,1981,08,23,1976
33026,岩手県,軽米（カルマイ）,,2022,08,10,17,00,4.6,4,南東,4,15,32,4,,,16,8,西北西,8,1986,04,12,12.9,8,東,8,2016,08,30,1976
33071,岩手県,二戸（ニノヘ）,,2022,08,10,17,00,2.1,4,北,4,12,06,4,,,13,8,南南西,8,1997,05,02,11,8,南西,8,2004,08,31,1976
33136,岩手県,山形（ヤマガタ）,,2022,08,10,17,00,3.2,4,南南西,4,04,05,4,,,15,8,///,8,1979,03,31,11,8,///,8,1981,08,23,1977
33146,岩手県,久慈（クジ）,,2022,08,10,17,00,2.5,4,北東,4,09,20,4,,,17.3,8,西南西,8,2017,09,18,13.0,8,東北東,8,2016,08,30,1976
33166,岩手県,荒屋（アラヤ）,,2022,08,10,17,00,4.8,4,南南西,4,07,49,4,,,12.5,8,南南西,8,2012,04,03,10.4,8,南,8,2014,08,11,1976
33176,岩手県,奥中山（オクナカヤマ）,,2022,08,10,17,00,2.9,4,南南西,4,00,18,4,,,12.2,8,西,8,2013,03,02,9.1,8,北西,8,2016,08,23,1977
33186,岩手県,葛巻（クズマキ）,,2022,08,10,17,00,6.8,4,南,4,16,09,4,,,16.1,8,南,8,2018,10,07,12.5,8,南,8,2016,08,30,1976
33206,岩手県,普代（フダイ）,,2022,08,10,17,00,3.5,4,北北東,4,13,37,4,,,12,8,北,8,1991,02,16,11,8,南南西,8,2004,08,20,1976
33226,岩手県,岩手松尾（イワテマツオ）,,2022,08,10,17,00,6.2,4,南東,4,00,35,4,,,14.4,8,西北西,8,2013,03,02,10.5,8,南南東,8,2014,08,11,1976
33296,岩手県,好摩（コウマ）,,2022,08,10,17,00,4.2,4,南南西,4,00,55,4,,,16.5,8,南西,8,2012,04,04,12,8,南南西,8,2004,08,31,1976
33326,岩手県,岩泉（イワイズミ）,,2022,08,10,17,00,3.6,4,東,4,12,09,4,,,16.8,8,西南西,8,2012,04,04,11.3,8,東北東,8,2016,08,30,1976
33336,岩手県,小本（オモト）,,2022,08,10,17,00,2.9,4,北東,4,05,42,4,,,19.4,8,東北東,8,2010,12,22,16.7,8,北東,8,2016,08,30,1977
33371,岩手県,薮川（ヤブカワ）,,2022,08,10,17,00,2.5,4,南南西,4,11,32,4,,,14,8,西南西,8,1978,03,12,10.7,8,東北東,8,2016,08,30,1976
33421,岩手県,雫石（シズクイシ）,,2022,08,10,17,00,6.3,4,西南西,4,12,57,4,,,17,8,西,8,2004,04,21,10,8,西,8,1979,08,28,1976
33431,岩手県,盛岡（モリオカ）,47584,2022,08,10,17,00,6.8,4,南南東,4,10,50,4,,,22.2,8,西北西,8,1951,04,10,16.3,8,西,8,1981,08,23,1923
33441,岩手県,区界（クザカイ）,,2022,08,10,17,00,3.9,4,西,4,14,59,4,,,13.9,8,南東,8,2018,09,04,12.5,8,南東,8,2014,08,10,1993
33472,岩手県,宮古（ミヤコ）,47585,2022,08,10,17,00,4.1,4,北東,4,11,10,4,,,31.4,8,西南西,8,1912,09,23,27.0,8,南,8,1911,08,16,1883
33486,岩手県,沢内（サワウチ）,,2022,08,10,17,00,6.1,4,南西,4,12,42,4,,,12.0,8,北北東,8,2019,10,13,8.3,8,西南西,8,2017,08,25,2017
33501,岩手県,紫波（シワ）,,2022,08,10,17,00,3.9,4,南,4,12,51,4,,,20.7,8,西,8,2013,03,10,14.6,8,北西,8,2016,08,17,1976
33526,岩手県,川井（カワイ）,,2022,08,10,17,00,3.4,4,西南西,4,01,25,4,,,13.6,8,南南西,8,2013,02,05,9,8,西,8,2004,08,20,1977
33576,岩手県,花巻（ハナマキ）,,2022,08,10,17,00,4.4,4,南,4,11,38,4,,,19.3,8,北,8,2019,10,13,15,8,南,8,2004,08,31,2003
33581,岩手県,大迫（オオハサマ）,,2022,08,10,17,00,3.3,4,南東,4,05,58,4,,,12.2,8,西,8,2021,02,16,9,8,西,8,1985,08,20,1976
33616,岩手県,山田（ヤマダ）,,2022,08,10,17,00,1.9,4,北西,4,04,00,4,,,19,8,///,8,1979,03,31,15,8,西南西,8,1981,08,23,1976
33631,岩手県,湯田（ユダ）,,2022,08,10,17,00,1.7,4,北北東,4,13,29,4,,,9,8,北北西,8,1978,12,05,6.1,8,南,8,2019,08,05,1976
33671,岩手県,遠野（トオノ）,,2022,08,10,17,00,5.1,4,西南西,4,11,53,4,,,15.8,8,西,8,2018,10,07,15.1,8,西,8,2016,08,23,1976
33716,岩手県,北上（キタカミ）,,2022,08,10,17,00,2.9,4,西北西,4,14,59,4,,,14,8,西,8,1979,02,12,8,8,南南東,8,2004,08,31,1976
33751,岩手県,釜石（カマイシ）,,2022,08,10,17,00,3.1,4,南,4,03,55,4,,,19.3,8,西,8,2018,10,07,12.7,8,東南東,8,2016,08,30,1976
33776,岩手県,若柳（ワカヤナギ）,,2022,08,10,17,00,4.3,4,南,4,09,52,4,,,19.8,8,西,8,2018,03,02,12,8,西南西,8,2004,08,31,1976
33781,岩手県,江刺（エサシ）,,2022,08,10,17,00,4.5,4,南南東,4,10,38,4,,,18.5,8,西北西,8,2020,03,20,15,8,南東,8,1981,08,23,1976
33801,岩手県,住田（スミタ）,,2022,08,10,17,00,6.1,4,西北西,4,14,12,4,,,15.1,8,西北西,8,2013,04,08,14,8,南東,8,1981,08,23,1977
33877,岩手県,大船渡（オオフナト）,47512,2022,08,10,17,00,,1,,1,,,,,,21.8,8,南東,8,2002,10,02,17.7,8,南南東,8,1981,08,23,1963
33911,岩手県,一関（イチノセキ）,,2022,08,10,17,00,3.9,4,南西,4,13,44,4,,,13,4,北北西,4,1983,11,19,12,8,東南東,8,1981,08,23,1976
33921,岩手県,千厩（センマヤ）,,2022,08,10,17,00,3.9,4,南西,4,14,04,4,,,15.0,8,南南東,8,2012,04,03,10,8,西,8,1995,08,28,1976
34012,宮城県,駒ノ湯（コマノユ）,,2022,08,10,17,00,2.1,4,南西,4,11,08,4,,,21,4,西北西,4,1983,11,19,13,8,西北西,8,1981,08,23,1976
34026,宮城県,気仙沼（ケセンヌマ）,,2022,08,10,17,00,3.3,4,南東,4,12,15,4,,,17,8,西,8,1981,08,23,17,8,西,8,1981,08,23,1976
34096,宮城県,川渡（カワタビ）,,2022,08,10,17,00,1.9,4,南東,4,00,11,4,,,12,8,西,8,1978,03,01,10,8,東北東,8,1989,08,06,1976
34111,宮城県,築館（ツキダテ）,,2022,08,10,17,00,4.1,4,西,4,13,26,4,,,15.4,8,西北西,8,2016,12,02,13,8,///,8,1981,08,23,1976
34171,宮城県,米山（ヨネヤマ）,,2022,08,10,17,00,4.8,4,南南東,4,12,54,4,,,25,8,西北西,8,1996,01,04,21,8,///,8,1981,08,23,1976
34186,宮城県,志津川（シヅガワ）,,2022,08,10,17,00,2.8,4,南西,4,12,09,4,,,18,8,西,8,1979,03,31,17,8,南東,8,1981,08,23,1976
34216,宮城県,古川（フルカワ）,,2022,08,10,17,00,4.6,4,北西,4,14,33,4,,,25.2,8,西北西,8,2013,03,10,16,8,西,8,2004,08,20,1976
34266,宮城県,大衡（オオヒラ）,,2022,08,10,17,00,2.0,4,西,4,12,29,4,,,16,8,///,8,1979,03,31,10.3,8,南東,8,2014,08,10,1976
34276,宮城県,鹿島台（カシマダイ）,,2022,08,10,17,00,6.0,4,南,4,12,14,4,,,18.6,8,西,8,2013,03,02,17,8,南東,8,1981,08,23,1976
34292,宮城県,石巻（イシノマキ）,47592,2022,08,10,17,00,7.6,4,南東,4,12,15,4,,,27.4,8,北東,8,1958,09,27,22.3,8,南東,8,1913,08,27,1887
34296,宮城県,女川（オナガワ）,,2022,08,10,17,00,5.3,4,西北西,4,12,51,4,,,19.6,8,西北西,8,2021,08,10,19.6,8,西北西,8,2021,08,10,2011
34311,宮城県,新川（ニッカワ）,,2022,08,10,17,00,7.0,4,西南西,4,12,43,4,,,25.9,8,西,8,2012,04,04,16,8,西,8,1981,08,23,1976
34331,宮城県,塩釜（シオガマ）,,2022,08,10,17,00,4.2,4,東,4,11,29,4,,,16,4,東南東,4,1981,08,23,16,4,東南東,4,1981,08,23,1976
34392,宮城県,仙台（センダイ）,47590,2022,08,10,17,00,6.8,4,南東,4,11,25,4,,,24.0,8,西北西,8,1997,03,11,18.9,8,南南東,8,1982,08,02,1926
34436,宮城県,名取（ナトリ）,,2022,08,10,17,00,7.6,4,南南東,4,16,05,4,,,26.0,8,西,8,2013,04,08,16.3,8,南東,8,2016,08,22,2003
34461,宮城県,白石（シロイシ）,,2022,08,10,17,00,5.1,4,西北西,4,14,49,4,,,21.2,8,西,8,2013,04,08,19,8,西南西,8,1981,08,23,1976
34462,宮城県,蔵王（ザオウ）,,2022,08,10,17,00,3.1,4,南南西,4,10,42,4,,,9.7,8,西南西,8,2021,03,10,5.9,8,南西,8,2021,08,10,2005
34471,宮城県,亘理（ワタリ）,,2022,08,10,17,00,6.7,4,西南西,4,03,57,4,,,23.6,8,南東,8,2018,10,01,13.6,8,東,8,2016,08,22,1976
34506,宮城県,丸森（マルモリ）,,2022,08,10,17,00,5.4,4,南,4,14,58,4,,,20.4,8,西,8,2010,12,04,15,8,東南東,8,1982,08,02,1977
35002,山形県,飛島（トビシマ）,,2022,08,10,17,00,12.7,4,西南西,4,01,07,4,,,39.7,8,西,8,2012,04,04,36,8,西南西,8,2004,08,31,1987
35052,山形県,酒田（サカタ）,47587,2022,08,10,17,00,7.5,4,南西,4,12,08,4,,,37.7,8,西南西,8,1961,09,16,23.5,8,南西,8,2004,08,20,1937
35071,山形県,差首鍋（サスナベ）,,2022,08,10,17,00,2.9,4,南西,4,12,01,4,,,10.8,8,西南西,8,2012,04,04,9,8,西南西,8,2004,08,20,1976
35086,山形県,浜中（ハマナカ）,,2022,08,10,17,00,8.8,4,西南西,4,02,58,4,,,26.7,8,南西,8,2012,04,04,25,8,南西,8,2004,08,20,2003
35116,山形県,金山（カネヤマ）,,2022,08,10,17,00,2.2,4,西,4,12,21,4,,,31,4,///,4,1979,04,25,10,8,東,8,1982,08,02,1976
35141,山形県,鶴岡（ツルオカ）,,2022,08,10,17,00,3.8,4,西南西,4,12,12,4,,,17,8,西,8,1984,01,17,11,8,西北西,8,1981,08,23,1976
35146,山形県,狩川（カリカワ）,,2022,08,10,17,00,5.4,4,西,4,11,59,4,,,23.3,8,東南東,8,2017,04,18,16.0,8,東南東,8,2015,08,25,1976
35162,山形県,新庄（シンジョウ）,47520,2022,08,10,17,00,4.8,4,西,4,13,00,4,,,23.9,8,西北西,8,1958,01,10,17.1,8,東南東,8,1959,08,14,1957
35176,山形県,向町（ムカイマチ）,,2022,08,10,17,00,3.9,4,西,4,14,39,4,,,17.2,8,西,8,2012,04,04,13,8,///,8,1981,08,23,1976
35216,山形県,肘折（ヒジオリ）,,2022,08,10,17,00,1.7,4,東北東,4,07,15,4,,,12,8,南西,8,1991,09,28,9,8,東南東,8,1982,08,02,1976
35231,山形県,尾花沢（オバナザワ）,,2022,08,10,17,00,5.0,4,北西,4,13,47,4,,,15.6,8,西北西,8,2009,02,21,13,8,西,8,1981,08,23,1976
35246,山形県,鼠ケ関（ネズガセキ）,,2022,08,10,17,00,4.3,4,南西,4,02,13,4,,,20.3,8,南西,8,2021,01,07,13.0,8,西南西,8,2021,08,10,1976
35332,山形県,村山（ムラヤマ）,,2022,08,10,17,00,2.0,4,西南西,4,12,19,4,,,11.6,8,南西,8,2017,04,19,9,8,南西,8,2004,08,31,2002
35334,山形県,東根（ヒガシネ）,,2022,08,10,17,00,5.5,4,南西,4,11,54,4,,,16,8,北北東,8,2006,04,20,14.6,8,北,8,2016,08,22,2003
35361,山形県,大井沢（オオイサワ）,,2022,08,10,17,00,2.9,4,南南東,4,10,45,4,,,10.0,8,南南西,8,2012,04,03,7,8,南南西,8,2004,08,31,1978
