観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),今日の最高気温(℃),今日の最高気温の品質情報,今日の最高気温起時（時）,今日の最高気温起時（分）,今日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（昨日まで）,今年の最高気温（昨日まで）の品質情報,今年の最高気温（昨日まで）を観測した起日（年）,今年の最高気温（昨日まで）を観測した起日（月）,今年の最高気温（昨日まで）を観測した起日（日）,昨日までの観測史上1位の値（℃）,昨日までの観測史上1位の値の品質情報,昨日までの観測史上1位の値を観測した起日（年）,昨日までの観測史上1位の値を観測した起日（月）,昨日までの観測史上1位の値を観測した起日（日）,昨日までの8月の1位の値,昨日までの8月の1位の値の品質情報,昨日までの8月の1位の値の起日（年）,昨日までの8月の1位の値の起日（月）,昨日までの8月の1位の値の起日（日）,統計開始年
20146,北海道十勝地方,陸別（リクベツ）,,2022,08,10,17,00,24.4,4,14,00,4,-0.4,-2.4,8,2,,,0,32.4,4,2022,07,03,37.8,8,2019,05,26,35.1,8,2007,08,15,1977
20186,北海道十勝地方,ぬかびら源泉郷（ヌカビラゲンセンキョウ）,,2022,08,10,17,00,23.7,4,12,48,4,+0.6,-0.3,8,1,,,0,31.3,4,2022,07,03,34.5,8,2019,05,26,32.9,8,1983,08,06,1976
20266,北海道十勝地方,上士幌（カミシホロ）,,2022,08,10,17,00,23.9,4,12,45,4,-0.4,-3.4,8,2,,,0,33.0,4,2022,07,03,36.6,8,2010,06,26,34.2,8,2007,08,14,1977
20276,北海道十勝地方,足寄（アショロ）,,2022,08,10,17,00,25.3,4,15,50,4,-0.7,-3.0,8,2,,,0,34.1,4,2022,07,03,38.8,8,2019,05,26,36.6,8,2021,08,03,1977
20341,北海道十勝地方,本別（ホンベツ）,,2022,08,10,17,00,24.9,4,14,35,4,-0.8,-3.2,8,2,,,0,33.9,4,2022,07,04,37.2,8,2019,05,26,35.9,8,1984,08,06,1976
20356,北海道十勝地方,新得（シントク）,,2022,08,10,17,00,24.0,4,16,39,4,-1.1,-4.1,8,3,,,0,32.6,4,2022,07,30,36.2,8,1999,08,09,36.2,8,1999,08,09,1977
20361,北海道十勝地方,鹿追（シカオイ）,,2022,08,10,17,00,24.0,4,12,44,4,-0.7,-4.0,8,2,,,0,32.7,4,2022,07,04,36.5,8,2019,05,26,35.0,8,1999,08,09,1978
20371,北海道十勝地方,駒場（コマバ）,,2022,08,10,17,00,23.8,4,16,27,4,-1.5,-3.2,9,1,,,0,33.0,4,2022,07,04,37.8,8,2014,06,03,36.2,8,2007,08,14,1977
20421,北海道十勝地方,芽室（メムロ）,,2022,08,10,17,00,24.1,4,15,32,4,-1.4,-3.0,8,3,,,0,32.9,4,2022,07,03,38.1,8,2019,05,26,36.8,8,1999,08,04,1977
20432,北海道十勝地方,帯広（オビヒロ）,47417,2022,08,10,17,00,24.3,4,16,17,4,-1.4,-2.9,9,1,,,0,33.7,4,2022,07,03,38.8,8,2019,05,26,37.0,8,1994,08,07,1892
20441,北海道十勝地方,池田（イケダ）,,2022,08,10,17,00,24.0,4,11,57,4,-1.0,-3.6,7,3,,,0,34.1,4,2022,07,03,38.8,8,2019,05,26,37.1,8,2015,08,05,1977
20506,北海道十勝地方,浦幌（ウラホロ）,,2022,08,10,17,00,24.0,4,12,36,4,-0.3,-3.7,8,2,,,0,34.2,4,2022,07,03,37.9,8,2019,05,26,36.0,8,2019,08,01,1977
20551,北海道十勝地方,帯広泉（オビヒロイズミ）,,2022,08,10,17,00,23.6,4,16,18,4,-1.7,-2.6,8,3,,,0,32.3,4,2022,07,03,37.8,8,2019,05,26,35.8,8,2015,08,05,2003
20556,北海道十勝地方,糠内（ヌカナイ）,,2022,08,10,17,00,24.5,4,11,52,4,-0.6,-2.9,8,2,,,0,33.1,4,2022,07,03,38.4,8,2019,05,26,36.7,8,2015,08,05,1978
20601,北海道十勝地方,上札内（カミサツナイ）,,2022,08,10,17,00,23.6,4,16,47,4,+0.1,-1.5,8,1,,,0,31.9,4,2022,07,31,36.7,8,2019,05,26,34.6,8,2015,08,05,1977
20606,北海道十勝地方,更別（サラベツ）,,2022,08,10,17,00,23.4,4,16,21,4,-0.8,-3.1,7,3,,,0,32.6,4,2022,07,03,38.0,8,2019,05,26,37.1,8,2015,08,05,1977
20631,北海道十勝地方,大津（オオツ）,,2022,08,10,17,00,22.4,4,07,34,4,+0.8,-4.5,88,0,,,0,33.6,4,2022,07,31,34.6,8,2010,08,06,34.6,8,2010,08,06,1977
20696,北海道十勝地方,大樹（タイキ）,,2022,08,10,17,00,23.7,4,12,15,4,+0.2,-3.2,8,1,,,0,32.6,4,2022,07,31,35.8,8,2015,08,05,35.8,8,2015,08,05,1977
20751,北海道十勝地方,広尾（ヒロオ）,47440,2022,08,10,17,00,25.0,4,12,24,4,+2.9,-2.7,88,0,,,0,32.0,4,2022,07,03,35.8,8,2019,05,26,35.0,8,1985,08,09,1958
21111,北海道胆振地方,厚真（アツマ）,,2022,08,10,17,00,23.1,4,16,01,4,-2.2,-2.9,7,2,,,0,31.5,4,2022,07,31,34.1,8,2021,08,06,34.1,8,2021,08,06,1977
21126,北海道胆振地方,穂別（ホベツ）,,2022,08,10,17,00,22.4,4,11,56,4,-3.6,-3.4,9,2,,,0,30.8,4,2022,07,31,34.3,8,2007,08,13,34.3,8,2007,08,13,1977
21161,北海道胆振地方,大滝（オオタキ）,,2022,08,10,17,00,21.0,4,14,48,4,-3.6,-3.6,9,2,,,0,29.3,4,2022,07,29,33.0,8,1999,08,10,33.0,8,1999,08,10,1977
21171,北海道胆振地方,森野（モリノ）,,2022,08,10,17,00,22.4,4,11,38,4,-1.5,-3.3,7,3,,,0,31.2,4,2022,07,03,33.1,8,2021,07,27,33.0,8,2019,08,02,1977
21187,北海道胆振地方,苫小牧（トマコマイ）,47424,2022,08,10,17,00,22.5,4,13,42,4,-1.0,-2.0,7,3,,,0,33.8,4,2022,07,31,35.5,8,2007,08,15,35.5,8,2007,08,15,1942
21226,北海道胆振地方,大岸（オオキシ）,,2022,08,10,17,00,23.9,4,12,52,4,-1.0,-2.9,7,3,,,0,29.7,4,2022,07,31,33.6,8,2021,07,20,32.7,8,2018,08,01,1977
21261,北海道胆振地方,白老（シラオイ）,,2022,08,10,17,00,22.2,4,11,41,4,-1.1,-2.0,7,3,,,0,31.6,4,2022,07,03,33.3,8,2021,07,18,33.1,8,2007,08,15,1977
21276,北海道胆振地方,鵡川（ムカワ）,,2022,08,10,17,00,22.4,4,15,43,4,-2.1,-3.6,7,2,,,0,30.1,4,2022,07,31,33.5,8,1994,08,10,33.5,8,1994,08,10,1978
21297,北海道胆振地方,伊達（ダテ）,,2022,08,10,17,00,24.0,4,11,54,4,-1.8,-3.6,7,3,,,0,30.1,4,2022,08,08,32.6,8,2012,09,18,32.6,8,2010,08,06,2007
21312,北海道胆振地方,登別（ノボリベツ）,,2022,08,10,17,00,21.7,4,11,32,4,-1.9,-3.6,7,2,,,0,29.6,4,2022,07,03,32.4,8,2021,07,20,32.4,8,2019,08,03,1977
21323,北海道胆振地方,室蘭（ムロラン）,47423,2022,08,10,17,00,22.1,4,10,10,4,-1.7,-3.4,7,3,,,0,28.4,4,2022,08,08,32.8,8,1929,08,08,32.8,8,1929,08,08,1923
22036,北海道日高地方,日高（ヒダカ）,,2022,08,10,17,00,22.1,4,13,51,4,-3.9,-4.3,9,2,,,0,30.8,4,2022,07,31,35.8,8,2021,07,31,35.5,8,1978,08,03,1977
22141,北海道日高地方,日高門別（ヒダカモンベツ）,,2022,08,10,17,00,22.3,4,14,48,4,-2.0,-2.9,7,2,,,0,29.9,4,2022,07,10,32.2,8,2021,07,27,32.1,8,2021,08,01,1976
22156,北海道日高地方,新和（シンワ）,,2022,08,10,17,00,22.5,4,15,54,4,-3.9,-3.3,9,2,,,0,31.5,4,2022,07,31,36.0,8,2007,08,13,36.0,8,2007,08,13,1977
22241,北海道日高地方,静内（シズナイ）,,2022,08,10,17,00,22.3,4,15,15,4,-1.9,-3.1,7,2,,,0,29.2,4,2022,07,31,31.7,8,2021,07,28,31.5,8,1994,08,10,1977
22291,北海道日高地方,三石（ミツイシ）,,2022,08,10,17,00,22.4,4,10,46,4,-2.1,-3.0,7,2,,,0,29.5,4,2022,07,31,32.1,8,2021,07,28,32.0,8,2021,08,06,1977
22306,北海道日高地方,中杵臼（ナカキネウス）,,2022,08,10,17,00,22.9,4,11,20,4,-2.6,-1.6,9,1,,,0,30.5,4,2022,07,31,33.1,8,2021,08,04,33.1,8,2021,08,04,1978
22327,北海道日高地方,浦河（ウラカワ）,47426,2022,08,10,17,00,22.1,4,10,30,4,-0.9,-2.3,7,3,,,0,26.3,4,2022,07,10,31.2,8,1989,08,06,31.2,8,1989,08,06,1927
22391,北海道日高地方,えりも岬（エリモミサキ）,,2022,08,10,17,00,21.3,4,01,18,4,+1.5,-2.4,88,0,,,0,24.6,4,2022,08,08,26.7,8,2020,08,29,26.7,8,2020,08,29,1978
23031,北海道渡島地方,長万部（オシャマンベ）,,2022,08,10,17,00,23.6,4,12,49,4,-0.8,-2.9,7,3,,,0,30.3,4,2022,07,03,32.6,8,2021,07,18,32.0,8,2021,08,05,1977
23086,北海道渡島地方,八雲（ヤクモ）,,2022,08,10,17,00,23.4,4,14,13,4,-1.4,-3.3,7,3,,,0,30.1,4,2022,07,31,33.5,8,2021,07,20,33.3,8,2021,08,05,1977
23166,北海道渡島地方,森（モリ）,,2022,08,10,17,00,22.4,4,14,33,4,-3.6,-4.3,7,1,,,0,30.5,4,2022,08,08,33.1,8,2021,08,05,33.1,8,2021,08,05,2002
23206,北海道渡島地方,川汲（カックミ）,,2022,08,10,17,00,23.0,4,12,22,4,-1.1,-3.2,7,3,,,0,31.0,4,2022,07,03,32.3,8,2010,08,06,32.3,8,2010,08,06,1977
23226,北海道渡島地方,北斗（ホクト）,,2022,08,10,17,00,22.4,4,00,05,4,-3.6,-4.3,7,1,,,0,31.8,4,2022,08,08,34.0,8,2020,08,29,34.0,8,2020,08,29,1977
23232,北海道渡島地方,函館（ハコダテ）,47430,2022,08,10,17,00,22.5,4,07,24,4,-3.5,-3.5,7,1,,,0,30.7,4,2022,07,31,33.9,8,2021,08,07,33.9,8,2021,08,07,1872
23281,北海道渡島地方,高松（タカマツ）,,2022,08,10,17,00,22.0,4,07,48,4,-3.3,-3.5,7,2,,,0,29.4,4,2022,07,31,33.0,8,2021,08,07,33.0,8,2021,08,07,2003
23326,北海道渡島地方,木古内（キコナイ）,,2022,08,10,17,00,22.5,4,00,04,4,-2.8,-3.4,7,2,,,0,30.6,4,2022,07,31,34.1,8,2010,08,06,34.1,8,2010,08,06,1977
23376,北海道渡島地方,松前（マツマエ）,,2022,08,10,17,00,23.8,4,16,11,4,-2.3,-1.2,7,2,,,0,29.1,4,2022,08,08,33.3,8,2004,07,31,33.1,8,2021,08,06,1977
24141,北海道渡島地方,熊石（クマイシ）,,2022,08,10,17,00,23.1,4,16,59,4,-2.7,-2.2,7,2,,,0,28.4,4,2022,07,06,33.5,8,1978,08,03,33.5,8,1978,08,03,1977
24041,北海道檜山地方,せたな（セタナ）,,2022,08,10,17,00,24.9,4,13,37,4,-0.3,-2.3,8,1,,,0,28.7,4,2022,08,08,32.8,8,1999,08,04,32.8,8,1999,08,04,1977
24051,北海道檜山地方,今金（イマカネ）,,2022,08,10,17,00,25.3,4,13,30,4,-0.6,-2.0,7,3,,,0,30.0,4,2022,07,11,34.8,8,2006,08,09,34.8,8,2006,08,09,1977
24101,北海道檜山地方,奥尻（オクシリ）,,2022,08,10,17,00,25.2,4,12,47,4,-0.4,-2.0,8,1,,,0,28.0,4,2022,07,30,32.4,8,2021,08,08,32.4,8,2021,08,08,2000
24156,北海道檜山地方,米岡（ヨネオカ）,,2022,08,10,17,00,23.9,4,02,36,4,-1.5,-2.0,7,3,,,0,28.6,4,2022,07,10,32.5,8,2021,08,07,32.5,8,2021,08,07,2003
24201,北海道檜山地方,鶉（ウズラ）,,2022,08,10,17,00,22.2,4,02,39,4,-3.9,-5.2,9,2,,,0,31.3,4,2022,07,11,34.7,8,2021,08,07,34.7,8,2021,08,07,1977
24217,北海道檜山地方,江差（エサシ）,47428,2022,08,10,17,00,23.4,4,02,30,4,-2.6,-3.2,7,2,,,0,29.7,4,2022,08,08,34.4,8,1999,08,04,34.4,8,1999,08,04,1941
31001,青森県,大間（オオマ）,,2022,08,10,17,00,22.9,4,17,00,4,-2.0,-3.1,7,3,,,0,28.9,4,2022,08,08,32.6,8,2011,09,03,31.9,8,1999,08,03,1976
31111,青森県,むつ（ムツ）,47576,2022,08,10,17,00,23.1,4,16,28,4,-2.9,-3.4,7,1,,,0,31.8,4,2022,08,08,34.7,8,2012,07,31,34.5,8,2010,08,06,1935
31121,青森県,小田野沢（オダノサワ）,,2022,08,10,17,00,23.3,4,16,47,4,-1.3,-5.1,7,3,,,0,33.7,4,2022,08,08,34.2,8,2010,08,06,34.2,8,2010,08,06,1976
31136,青森県,今別（イマベツ）,,2022,08,10,17,00,24.3,4,14,38,4,-1.8,-3.1,7,2,,,0,31.3,4,2022,08,08,33.3,8,2011,09,03,33.0,8,2000,08,01,1976
31156,青森県,脇野沢（ワキノサワ）,,2022,08,10,17,00,22.4,4,03,06,4,-3.3,-5.1,7,1,,,0,30.5,4,2022,07,30,34.2,8,1999,08,03,34.2,8,1999,08,03,1976
31186,青森県,市浦（シウラ）,,2022,08,10,17,00,25.6,4,17,00,4,-1.3,-1.9,7,3,,,0,31.6,4,2022,08,08,36.3,8,1978,08,03,36.3,8,1978,08,03,1976
31201,青森県,蟹田（カニタ）,,2022,08,10,17,00,23.9,4,16,04,4,-2.1,-4.4,7,2,,,0,33.3,4,2022,08,08,34.5,8,1994,08,12,34.5,8,1994,08,12,1976
31296,青森県,五所川原（ゴショガワラ）,,2022,08,10,17,00,25.9,4,17,00,4,-2.7,-1.7,7,2,,,0,33.7,4,2022,08,08,36.9,8,1978,08,03,36.9,8,1978,08,03,1976
31312,青森県,青森（アオモリ）,47575,2022,08,10,17,00,25.3,4,17,00,4,-2.8,-3.4,7,2,,,0,34.0,4,2022,08,08,36.7,8,1994,08,12,36.7,8,1994,08,12,1882
31332,青森県,野辺地（ノヘジ）,,2022,08,10,17,00,23.1,4,15,14,4,-3.0,-6.7,7,1,,,0,33.6,4,2022,08,08,33.8,8,2020,08,11,33.8,8,2020,08,11,2008
31336,青森県,六ケ所（ロッカショ）,,2022,08,10,17,00,22.6,4,00,14,4,-3.0,-5.4,7,2,,,0,32.9,4,2022,08,08,34.2,8,2011,08,10,34.2,8,2011,08,10,1982
31366,青森県,鰺ケ沢（アジガサワ）,,2022,08,10,17,00,27.8,4,16,46,4,+0.4,+0.7,88,0,,,0,32.4,4,2022,08,08,35.3,8,2020,09,03,34.6,8,2019,08,16,1976
31386,青森県,青森大谷（アオモリオオタニ）,,2022,08,10,17,00,24.5,4,16,46,4,-2.8,-1.6,9,1,,,0,31.4,4,2022,07,31,34.8,8,2020,09,03,34.2,8,2019,08,16,2003
31436,青森県,深浦（フカウラ）,47574,2022,08,10,17,00,25.6,4,17,00,4,-1.9,-1.0,7,2,,,0,31.1,4,2022,07,09,37.9,8,1978,08,03,37.9,8,1978,08,03,1940
31461,青森県,弘前（ヒロサキ）,,2022,08,10,17,00,25.2,4,14,00,4,-4.2,-1.4,9,2,,,0,33.8,4,2022,07,31,37.0,8,1978,08,03,37.0,8,1978,08,03,1976
31466,青森県,黒石（クロイシ）,,2022,08,10,17,00,25.7,4,16,58,4,-2.3,-1.5,7,2,,,0,31.6,4,2022,08,08,35.9,8,2006,08,17,35.9,8,2006,08,17,1976
31482,青森県,酸ケ湯（スカユ）,,2022,08,10,17,00,21.4,4,16,51,4,-1.0,-1.2,8,3,,,0,26.1,4,2022,07,30,30.8,8,1978,08,03,30.8,8,1978,08,03,1976
31506,青森県,三沢（ミサワ）,,2022,08,10,17,00,23.6,4,00,14,4,-3.1,-5.5,7,2,,,0,34.9,4,2022,08,08,36.8,8,1994,08,12,36.8,8,1994,08,12,1976
31586,青森県,十和田（トワダ）,,2022,08,10,17,00,24.4,4,00,07,4,-2.7,-4.7,7,2,,,0,33.6,4,2022,07,31,35.8,8,2004,07,31,35.6,8,2010,08,06,1976
31602,青森県,八戸（ハチノヘ）,47581,2022,08,10,17,00,25.1,4,00,02,4,-1.8,-4.8,7,2,,,0,34.4,4,2022,08,08,37.0,8,1978,08,03,37.0,8,1978,08,03,1936
31646,青森県,碇ケ関（イカリガセキ）,,2022,08,10,17,00,25.9,4,16,55,4,-2.6,-1.5,9,1,,,0,33.0,4,2022,07,31,37.9,8,1999,08,10,37.9,8,1999,08,10,1976
31662,青森県,休屋（ヤスミヤ）,,2022,08,10,17,00,24.4,4,16,58,4,-1.2,-1.3,8,3,,,0,31.1,4,2022,07,30,33.7,8,2021,08,07,33.7,8,2021,08,07,1982
31721,青森県,三戸（サンノヘ）,,2022,08,10,17,00,24.9,4,15,45,4,-4.0,-4.5,9,2,,,0,34.4,4,2022,07,30,37.7,8,1999,07,27,37.3,8,2004,08,01,1976
32056,秋田県,八森（ハチモリ）,,2022,08,10,17,00,26.4,4,17,00,4,-1.5,-0.9,7,3,,,0,30.7,4,2022,07,06,37.4,8,1978,08,03,37.4,8,1978,08,03,1976
32111,秋田県,能代（ノシロ）,,2022,08,10,17,00,27.1,4,16,23,4,-2.0,-1.1,7,2,,,0,33.0,4,2022,08,08,39.1,8,1978,08,03,39.1,8,1978,08,03,1976
32126,秋田県,鷹巣（タカノス）,,2022,08,10,17,00,26.7,4,17,00,4,-2.8,-1.9,9,1,,,0,34.2,4,2022,07,11,38.6,8,2021,08,07,38.6,8,2021,08,07,1976
32136,秋田県,大館（オオダテ）,,2022,08,10,17,00,27.3,4,16,46,4,-2.3,-1.5,9,1,,,0,34.3,4,2022,07,26,38.3,8,1978,08,03,38.3,8,1978,08,03,1976
32146,秋田県,鹿角（カヅノ）,,2022,08,10,17,00,25.3,4,16,09,4,-3.3,-3.5,9,1,,,0,32.1,4,2022,07,29,37.0,8,2000,07,31,36.9,8,1999,08,09,1976
32181,秋田県,脇神（ワキガミ）,,2022,08,10,17,00,26.0,4,17,00,4,-3.2,-1.8,9,1,,,0,32.8,4,2022,07,30,37.3,8,2019,08,15,37.3,8,2019,08,15,2003
32206,秋田県,湯瀬（ユゼ）,,2022,08,10,17,00,24.0,4,15,23,4,-4.3,-4.9,9,2,,,0,31.7,4,2022,08,08,36.0,8,2000,07,31,35.6,8,1994,08,12,1976
32266,秋田県,八幡平（ハチマンタイ）,,2022,08,10,17,00,22.9,4,17,00,4,-2.7,-1.9,9,1,,,0,29.4,4,2022,07,03,32.8,8,2007,08,14,32.8,8,2007,08,14,1978
32286,秋田県,男鹿（オガ）,,2022,08,10,17,00,27.2,4,17,00,4,-1.2,-0.6,7,3,,,0,31.4,4,2022,07,06,35.6,8,2000,07,31,35.1,8,2019,08,15,1976
32287,秋田県,大潟（オオガタ）,,2022,08,10,17,00,27.8,4,16,54,4,-1.0,-0.8,8,3,,,0,32.4,4,2022,08,01,38.1,8,1978,08,03,38.1,8,1978,08,03,1977
32296,秋田県,五城目（ゴジョウメ）,,2022,08,10,17,00,27.1,4,17,00,4,-2.4,-1.4,7,2,,,0,33.2,4,2022,07,06,38.1,8,2020,09,03,38.1,8,2019,08,15,1976
32311,秋田県,阿仁合（アニアイ）,,2022,08,10,17,00,25.9,4,17,00,4,-3.4,-3.0,9,1,,,0,32.5,4,2022,07,29,37.1,8,1978,08,03,37.1,8,1978,08,03,1976
32402,秋田県,秋田（アキタ）,47582,2022,08,10,17,00,28.5,4,16,43,4,-1.1,-1.8,8,3,,,0,33.5,4,2022,07,06,38.2,8,1978,08,03,38.2,8,1978,08,03,1882
32407,秋田県,岩見三内（イワミサンナイ）,,2022,08,10,17,00,27.3,4,15,53,4,-2.0,-2.0,7,2,,,0,32.5,4,2022,07,09,37.7,8,2000,07,31,37.3,8,1978,08,03,1976
32451,秋田県,雄和（ユウワ）,,2022,08,10,17,00,27.3,4,16,39,4,-2.1,-2.1,7,3,,,0,33.0,4,2022,07,11,36.7,8,2018,08,23,36.7,8,2018,08,23,2003
32466,秋田県,角館（カクノダテ）,,2022,08,10,17,00,27.6,4,16,21,4,-2.7,-2.9,7,2,,,0,34.4,4,2022,07,30,37.8,8,2000,07,31,37.7,8,2018,08,23,1976
32476,秋田県,田沢湖（タザワコ）,,2022,08,10,17,00,26.4,4,11,36,4,-2.0,-2.5,8,3,,,0,32.6,4,2022,07,30,36.5,8,2018,08,23,36.5,8,2018,08,23,1976
32496,秋田県,大正寺（ダイショウジ）,,2022,08,10,17,00,27.2,4,15,53,4,-2.1,-2.1,9,1,,,0,33.0,4,2022,07,11,37.2,8,1978,08,03,37.2,8,1978,08,03,1976
32551,秋田県,大曲（オオマガリ）,,2022,08,10,17,00,28.7,4,12,22,4,-1.2,-1.6,8,3,,,0,33.6,4,2022,07,07,37.6,8,2000,07,31,36.9,8,2018,08,23,1976
32571,秋田県,本荘（ホンジョウ）,,2022,08,10,17,00,28.9,4,12,42,4,-0.8,-1.1,8,3,,,0,33.3,4,2022,08,01,37.8,8,2018,08,23,37.8,8,2018,08,23,1976
32581,秋田県,東由利（ヒガシユリ）,,2022,08,10,17,00,29.2,4,10,54,4,-1.1,-1.3,8,3,,,0,34.6,4,2022,08,08,38.0,8,2000,07,31,37.1,8,2021,08,06,1976
32596,秋田県,横手（ヨコテ）,,2022,08,10,17,00,30.5,4,11,10,4,-0.1,-1.0,8,2,,,0,34.4,4,2022,08,01,38.6,8,2018,08,23,38.6,8,2018,08,23,1976
32616,秋田県,にかほ（ニカホ）,,2022,08,10,17,00,29.4,4,15,50,4,+0.4,-0.3,88,0,,,0,32.0,4,2022,08,01,38.2,8,2020,09,03,38.1,8,2019,08,15,1976
32626,秋田県,矢島（ヤシマ）,,2022,08,10,17,00,29.7,4,10,13,4,-0.5,-0.3,8,2,,,0,33.3,4,2022,08,08,37.7,8,2000,07,31,37.4,8,1978,08,03,1976
32691,秋田県,湯沢（ユザワ）,,2022,08,10,17,00,28.9,4,12,13,4,-0.9,-1.7,8,3,,,0,33.7,4,2022,08,08,36.8,8,2015,07,13,36.2,8,2018,08,23,1976
32771,秋田県,湯の岱（ユノタイ）,,2022,08,10,17,00,28.3,4,11,31,4,+0.4,0.0,88,0,,,0,31.4,4,2022,07,30,35.3,8,1999,07,27,35.1,8,1994,08,13,1976
33006,岩手県,種市（タネイチ）,,2022,08,10,17,00,24.0,4,01,32,4,-1.5,-3.8,7,3,,,0,33.7,4,2022,08,08,35.4,8,2015,08,05,35.4,8,2015,08,05,1976
33026,岩手県,軽米（カルマイ）,,2022,08,10,17,00,24.8,4,01,00,4,-2.7,-4.1,9,1,,,0,33.5,4,2022,07,03,36.2,8,2018,08,23,36.2,8,2018,08,23,1976
33071,岩手県,二戸（ニノヘ）,,2022,08,10,17,00,24.6,4,16,15,4,-3.7,-3.4,9,2,,,0,32.9,4,2022,07,30,35.8,8,1994,08,10,35.8,8,1994,08,10,1976
33136,岩手県,山形（ヤマガタ）,,2022,08,10,17,00,25.7,4,03,48,4,-1.3,-2.9,8,3,,,0,34.6,4,2022,07,03,36.4,8,2018,08,23,36.4,8,2018,08,23,1977
33146,岩手県,久慈（クジ）,,2022,08,10,17,00,24.0,4,07,12,4,-2.5,-5.1,7,2,,,0,35.0,4,2022,08,08,36.0,8,2020,08,11,36.0,8,2020,08,11,1976
33166,岩手県,荒屋（アラヤ）,,2022,08,10,17,00,24.3,4,16,42,4,-3.1,-4.4,9,1,,,0,32.7,4,2022,07,03,35.0,8,2018,08,23,35.0,8,2018,08,23,1976
33176,岩手県,奥中山（オクナカヤマ）,,2022,08,10,17,00,23.5,4,17,00,4,-2.7,-3.1,9,1,,,0,31.9,4,2022,07,03,33.5,8,2018,08,23,33.5,8,2018,08,23,1977
33186,岩手県,葛巻（クズマキ）,,2022,08,10,17,00,25.4,4,12,56,4,-1.9,-0.8,8,3,,,0,31.5,4,2022,07,03,34.7,8,2007,08,12,34.7,8,2007,08,12,1976
33206,岩手県,普代（フダイ）,,2022,08,10,17,00,24.8,4,09,38,4,-2.0,-4.4,7,3,,,0,34.6,4,2022,06,26,37.7,8,1978,08,03,37.7,8,1978,08,03,1976
33226,岩手県,岩手松尾（イワテマツオ）,,2022,08,10,17,00,26.1,4,03,19,4,-2.2,-2.5,9,1,,,0,34.3,4,2022,07,03,35.5,8,2015,08,05,35.5,8,2015,08,05,1976
33296,岩手県,好摩（コウマ）,,2022,08,10,17,00,27.0,4,15,56,4,-1.4,-1.5,8,3,,,0,34.1,4,2022,07,03,36.0,8,1999,07,27,35.6,8,2018,08,23,1976
33326,岩手県,岩泉（イワイズミ）,,2022,08,10,17,00,25.9,4,10,26,4,-2.3,-4.2,7,2,,,0,36.3,4,2022,07,03,38.5,8,1994,08,12,38.5,8,1994,08,12,1976
33336,岩手県,小本（オモト）,,2022,08,10,17,00,25.5,4,09,54,4,-0.9,-5.4,7,3,,,0,34.5,4,2022,06,26,35.6,8,1984,08,12,35.6,8,1984,08,12,1977
33371,岩手県,薮川（ヤブカワ）,,2022,08,10,17,00,23.2,4,14,12,4,-1.8,-0.9,8,3,,,0,29.6,4,2022,07,03,31.8,8,2018,08,23,31.8,8,2018,08,23,1976
33421,岩手県,雫石（シズクイシ）,,2022,08,10,17,00,27.2,4,12,56,4,-1.1,-2.5,8,3,,,0,33.1,4,2022,07,30,35.8,4,1978,08,02,35.8,4,1978,08,02,1976
33431,岩手県,盛岡（モリオカ）,47584,2022,08,10,17,00,28.1,4,14,01,4,-1.0,-2.1,8,2,,,0,34.8,4,2022,07,03,37.2,8,1924,07,12,36.6,8,1978,08,02,1923
33441,岩手県,区界（クザカイ）,,2022,08,10,17,00,24.8,4,11,26,4,-0.1,+0.3,8,2,,,0,29.4,4,2022,07,03,31.6,8,2018,08,23,31.6,8,2018,08,23,1993
33472,岩手県,宮古（ミヤコ）,47585,2022,08,10,17,00,28.9,4,04,25,4,+2.3,-2.6,88,0,,,0,34.7,4,2022,06,26,37.3,8,1933,07,23,37.2,8,1929,08,02,1883
33486,岩手県,沢内（サワウチ）,,2022,08,10,17,00,26.1,4,12,54,4,,-0.8,,,,,0,31.3,4,2022,07,03,34.1,8,2018,08,23,34.1,8,2018,08,23,2017
33501,岩手県,紫波（シワ）,,2022,08,10,17,00,28.0,4,11,46,4,-0.9,-2.1,8,2,,,0,35.1,4,2022,07,03,36.3,8,2007,08,14,36.3,8,2007,08,14,1976
33526,岩手県,川井（カワイ）,,2022,08,10,17,00,30.1,4,11,03,4,+1.5,-2.4,88,0,,,0,36.9,4,2022,07,03,37.5,8,2007,08,13,37.5,8,2007,08,13,1977
33576,岩手県,花巻（ハナマキ）,,2022,08,10,17,00,29.7,4,10,41,4,-0.6,-1.7,8,2,,,0,34.4,4,2022,07,03,36.6,8,2015,07,22,36.3,8,2020,08,29,2003
33581,岩手県,大迫（オオハサマ）,,2022,08,10,17,00,31.0,4,10,47,4,+1.6,-0.2,88,0,,,0,34.7,4,2022,07,03,36.4,8,2018,08,23,36.4,8,2018,08,23,1976
33616,岩手県,山田（ヤマダ）,,2022,08,10,17,00,27.3,4,11,16,4,+0.1,-2.9,8,1,,,0,35.2,4,2022,06,26,37.5,8,2015,07,14,37.2,8,2020,08,11,1976
33631,岩手県,湯田（ユダ）,,2022,08,10,17,00,27.8,4,11,48,4,0.0,-1.7,8,1,,,0,32.0,4,2022,07,30,34.9,8,2018,08,23,34.9,8,2018,08,23,1976
